date,away_team,home_team,day_night,completed,pitch,attendance,game_time,name,city,state
20180402,CLE,ANA,N,NA,ANA01,43904,205,Angel Stadium of Anaheim,Anaheim,CA
20180403,CLE,ANA,N,NA,ANA01,35007,169,Angel Stadium of Anaheim,Anaheim,CA
20180404,CLE,ANA,D,NA,ANA01,32412,268,Angel Stadium of Anaheim,Anaheim,CA
20180406,OAK,ANA,N,NA,ANA01,36023,215,Angel Stadium of Anaheim,Anaheim,CA
20180407,OAK,ANA,N,NA,ANA01,40129,200,Angel Stadium of Anaheim,Anaheim,CA
20180408,OAK,ANA,D,NA,ANA01,44742,173,Angel Stadium of Anaheim,Anaheim,CA
20180417,BOS,ANA,N,NA,ANA01,44822,195,Angel Stadium of Anaheim,Anaheim,CA
20180418,BOS,ANA,N,NA,ANA01,34508,198,Angel Stadium of Anaheim,Anaheim,CA
20180419,BOS,ANA,N,NA,ANA01,36253,215,Angel Stadium of Anaheim,Anaheim,CA
20180420,SFN,ANA,N,NA,ANA01,37494,170,Angel Stadium of Anaheim,Anaheim,CA
20180421,SFN,ANA,N,NA,ANA01,42666,178,Angel Stadium of Anaheim,Anaheim,CA
20180422,SFN,ANA,D,NA,ANA01,44544,225,Angel Stadium of Anaheim,Anaheim,CA
20180427,NYA,ANA,N,NA,ANA01,40416,195,Angel Stadium of Anaheim,Anaheim,CA
20180428,NYA,ANA,N,NA,ANA01,44649,189,Angel Stadium of Anaheim,Anaheim,CA
20180429,NYA,ANA,N,NA,ANA01,44593,180,Angel Stadium of Anaheim,Anaheim,CA
20180501,BAL,ANA,N,NA,ANA01,32345,178,Angel Stadium of Anaheim,Anaheim,CA
20180502,BAL,ANA,N,NA,ANA01,32156,194,Angel Stadium of Anaheim,Anaheim,CA
20180503,BAL,ANA,N,NA,ANA01,35879,182,Angel Stadium of Anaheim,Anaheim,CA
20180510,MIN,ANA,N,NA,ANA01,30127,188,Angel Stadium of Anaheim,Anaheim,CA
20180511,MIN,ANA,N,NA,ANA01,43521,203,Angel Stadium of Anaheim,Anaheim,CA
20180512,MIN,ANA,N,NA,ANA01,40117,261,Angel Stadium of Anaheim,Anaheim,CA
20180513,MIN,ANA,D,NA,ANA01,38029,208,Angel Stadium of Anaheim,Anaheim,CA
20180514,HOU,ANA,N,NA,ANA01,28229,147,Angel Stadium of Anaheim,Anaheim,CA
20180515,HOU,ANA,N,NA,ANA01,28358,198,Angel Stadium of Anaheim,Anaheim,CA
20180516,HOU,ANA,N,NA,ANA01,28078,159,Angel Stadium of Anaheim,Anaheim,CA
20180517,TBA,ANA,N,NA,ANA01,30487,186,Angel Stadium of Anaheim,Anaheim,CA
20180518,TBA,ANA,N,NA,ANA01,40067,212,Angel Stadium of Anaheim,Anaheim,CA
20180519,TBA,ANA,N,NA,ANA01,37232,180,Angel Stadium of Anaheim,Anaheim,CA
20180520,TBA,ANA,D,NA,ANA01,38560,195,Angel Stadium of Anaheim,Anaheim,CA
20180601,TEX,ANA,N,NA,ANA01,33511,157,Angel Stadium of Anaheim,Anaheim,CA
20180602,TEX,ANA,N,NA,ANA01,44603,201,Angel Stadium of Anaheim,Anaheim,CA
20180603,TEX,ANA,D,NA,ANA01,33541,159,Angel Stadium of Anaheim,Anaheim,CA
20180604,KCA,ANA,N,NA,ANA01,32553,215,Angel Stadium of Anaheim,Anaheim,CA
20180605,KCA,ANA,N,NA,ANA01,31514,136,Angel Stadium of Anaheim,Anaheim,CA
20180606,KCA,ANA,N,NA,ANA01,36512,191,Angel Stadium of Anaheim,Anaheim,CA
20180618,ARI,ANA,N,NA,ANA01,33809,201,Angel Stadium of Anaheim,Anaheim,CA
20180619,ARI,ANA,N,NA,ANA01,33088,191,Angel Stadium of Anaheim,Anaheim,CA
20180621,TOR,ANA,N,NA,ANA01,30416,183,Angel Stadium of Anaheim,Anaheim,CA
20180622,TOR,ANA,N,NA,ANA01,38028,137,Angel Stadium of Anaheim,Anaheim,CA
20180623,TOR,ANA,N,NA,ANA01,40612,187,Angel Stadium of Anaheim,Anaheim,CA
20180624,TOR,ANA,D,NA,ANA01,33102,213,Angel Stadium of Anaheim,Anaheim,CA
20180706,LAN,ANA,N,NA,ANA01,44323,192,Angel Stadium of Anaheim,Anaheim,CA
20180707,LAN,ANA,D,NA,ANA01,44409,198,Angel Stadium of Anaheim,Anaheim,CA
20180708,LAN,ANA,N,NA,ANA01,42213,159,Angel Stadium of Anaheim,Anaheim,CA
20180710,SEA,ANA,N,NA,ANA01,33092,190,Angel Stadium of Anaheim,Anaheim,CA
20180711,SEA,ANA,N,NA,ANA01,35591,160,Angel Stadium of Anaheim,Anaheim,CA
20180712,SEA,ANA,N,NA,ANA01,44027,182,Angel Stadium of Anaheim,Anaheim,CA
20180720,HOU,ANA,N,NA,ANA01,42422,167,Angel Stadium of Anaheim,Anaheim,CA
